-1.000,0.481,0.498,0.479,0.432,0.523,0.476,0.417,0.470,0.421,0.481,0.509,0.446,0.466,0.428,0.510,0.407,0.536,0.473,0.413,0.491,0.417,0.432,0.482,0.494,0.529,0.442,0.480,0.459,0.446
0.404,-1.000,0.496,0.438,0.464,0.474,0.435,0.443,0.399,0.397,0.367,0.431,0.407,0.468,0.434,0.406,0.452,0.511,0.437,0.478,0.485,0.438,0.472,0.477,0.418,0.433,0.406,0.459,0.420,0.428
0.446,0.436,-1.000,0.462,0.375,0.458,0.453,0.470,0.474,0.466,0.456,0.491,0.433,0.477,0.455,0.409,0.433,0.512,0.420,0.487,0.497,0.511,0.456,0.404,0.422,0.459,0.392,0.484,0.444,0.438
0.428,0.456,0.427,-1.000,0.395,0.409,0.382,0.503,0.410,0.409,0.396,0.384,0.409,0.468,0.394,0.416,0.403,0.478,0.446,0.446,0.361,0.457,0.399,0.446,0.450,0.424,0.396,0.431,0.394,0.390
0.412,0.442,0.460,0.433,-1.000,0.435,0.470,0.422,0.421,0.431,0.414,0.385,0.395,0.447,0.438,0.398,0.408,0.424,0.486,0.491,0.453,0.467,0.471,0.449,0.433,0.476,0.490,0.539,0.410,0.425
0.468,0.452,0.473,0.452,0.425,-1.000,0.457,0.454,0.436,0.436,0.411,0.437,0.497,0.513,0.556,0.472,0.462,0.503,0.494,0.475,0.401,0.506,0.407,0.427,0.382,0.449,0.466,0.481,0.471,0.467
0.429,0.500,0.409,0.488,0.457,0.484,-1.000,0.455,0.470,0.404,0.435,0.471,0.486,0.540,0.457,0.418,0.517,0.512,0.503,0.449,0.474,0.526,0.479,0.445,0.401,0.442,0.444,0.473,0.458,0.470
0.429,0.414,0.381,0.368,0.452,0.476,0.441,-1.000,0.371,0.460,0.411,0.432,0.424,0.465,0.405,0.457,0.406,0.455,0.455,0.414,0.439,0.457,0.367,0.429,0.449,0.482,0.466,0.419,0.412,0.393
0.404,0.440,0.429,0.434,0.451,0.434,0.446,0.410,-1.000,0.397,0.424,0.467,0.435,0.374,0.442,0.484,0.429,0.441,0.434,0.440,0.436,0.466,0.367,0.427,0.399,0.471,0.440,0.437,0.384,0.454
0.487,0.446,0.461,0.468,0.436,0.461,0.472,0.494,0.497,-1.000,0.499,0.439,0.486,0.507,0.452,0.519,0.510,0.456,0.480,0.480,0.447,0.491,0.479,0.455,0.528,0.493,0.482,0.508,0.481,0.454
0.415,0.419,0.471,0.422,0.438,0.456,0.407,0.442,0.433,0.402,-1.000,0.496,0.391,0.410,0.454,0.503,0.506,0.477,0.448,0.477,0.413,0.503,0.399,0.478,0.423,0.435,0.475,0.417,0.479,0.446
0.407,0.410,0.488,0.419,0.433,0.428,0.490,0.355,0.506,0.469,0.451,-1.000,0.419,0.422,0.434,0.416,0.437,0.494,0.516,0.470,0.479,0.492,0.422,0.426,0.391,0.392,0.434,0.420,0.451,0.409
0.422,0.482,0.529,0.485,0.440,0.445,0.489,0.454,0.506,0.443,0.457,0.458,-1.000,0.490,0.429,0.507,0.442,0.478,0.487,0.500,0.439,0.537,0.539,0.488,0.456,0.463,0.482,0.472,0.494,0.478
0.471,0.460,0.461,0.482,0.434,0.455,0.442,0.449,0.455,0.457,0.398,0.352,0.439,-1.000,0.468,0.372,0.444,0.470,0.407,0.392,0.481,0.401,0.485,0.448,0.401,0.394,0.413,0.422,0.442,0.407
0.415,0.503,0.457,0.412,0.444,0.444,0.491,0.429,0.404,0.440,0.487,0.458,0.430,0.476,-1.000,0.527,0.413,0.544,0.450,0.522,0.408,0.466,0.477,0.471,0.481,0.461,0.457,0.448,0.448,0.404
0.449,0.439,0.452,0.429,0.397,0.464,0.433,0.448,0.476,0.404,0.430,0.464,0.466,0.414,0.500,-1.000,0.450,0.506,0.454,0.462,0.430,0.468,0.475,0.531,0.457,0.494,0.428,0.465,0.444,0.485
0.448,0.494,0.428,0.478,0.391,0.491,0.510,0.415,0.477,0.401,0.479,0.443,0.548,0.444,0.438,0.495,-1.000,0.494,0.439,0.472,0.406,0.475,0.492,0.447,0.465,0.490,0.481,0.409,0.428,0.438
0.482,0.471,0.438,0.455,0.438,0.429,0.420,0.435,0.500,0.406,0.429,0.470,0.413,0.461,0.424,0.453,0.394,-1.000,0.411,0.453,0.425,0.439,0.400,0.463,0.437,0.453,0.418,0.506,0.425,0.438
0.451,0.445,0.516,0.460,0.420,0.494,0.464,0.435,0.447,0.437,0.483,0.427,0.465,0.521,0.404,0.465,0.462,0.545,-1.000,0.457,0.444,0.412,0.422,0.444,0.420,0.453,0.446,0.494,0.486,0.406
0.488,0.459,0.419,0.427,0.402,0.434,0.432,0.464,0.406,0.399,0.462,0.386,0.367,0.453,0.428,0.402,0.463,0.446,0.481,-1.000,0.416,0.410,0.443,0.416,0.419,0.436,0.467,0.429,0.435,0.401
0.462,0.482,0.419,0.426,0.463,0.414,0.462,0.495,0.421,0.415,0.394,0.424,0.467,0.465,0.418,0.445,0.414,0.478,0.469,0.421,-1.000,0.538,0.473,0.434,0.438,0.427,0.439,0.517,0.432,0.454
0.437,0.442,0.471,0.418,0.488,0.444,0.442,0.439,0.496,0.431,0.458,0.429,0.406,0.459,0.465,0.453,0.438,0.470,0.442,0.448,0.410,-1.000,0.445,0.466,0.430,0.536,0.458,0.474,0.471,0.457
0.392,0.398,0.388,0.403,0.408,0.427,0.364,0.429,0.456,0.400,0.435,0.383,0.412,0.384,0.436,0.469,0.369,0.442,0.398,0.393,0.367,0.439,-1.000,0.442,0.473,0.483,0.378,0.417,0.346,0.357
0.360,0.484,0.453,0.476,0.483,0.438,0.501,0.443,0.481,0.410,0.449,0.474,0.443,0.500,0.459,0.452,0.429,0.494,0.394,0.472,0.448,0.433,0.506,-1.000,0.427,0.430,0.389,0.503,0.433,0.482
0.450,0.400,0.436,0.427,0.491,0.465,0.440,0.504,0.530,0.433,0.475,0.422,0.437,0.443,0.405,0.460,0.420,0.457,0.488,0.446,0.440,0.474,0.486,0.452,-1.000,0.433,0.469,0.459,0.434,0.403
0.475,0.424,0.475,0.472,0.490,0.424,0.418,0.492,0.387,0.413,0.470,0.429,0.441,0.495,0.461,0.442,0.490,0.519,0.459,0.523,0.430,0.445,0.380,0.453,0.440,-1.000,0.447,0.500,0.445,0.481
0.510,0.476,0.428,0.429,0.433,0.522,0.449,0.503,0.467,0.502,0.450,0.479,0.480,0.437,0.457,0.490,0.459,0.548,0.486,0.437,0.543,0.465,0.439,0.445,0.443,0.466,-1.000,0.404,0.420,0.466
0.449,0.463,0.496,0.430,0.422,0.465,0.434,0.497,0.505,0.436,0.387,0.451,0.503,0.453,0.387,0.440,0.417,0.497,0.423,0.472,0.413,0.427,0.487,0.455,0.435,0.506,0.439,-1.000,0.540,0.451
0.436,0.439,0.503,0.405,0.482,0.460,0.435,0.465,0.468,0.448,0.433,0.432,0.440,0.432,0.448,0.483,0.415,0.474,0.461,0.471,0.434,0.493,0.368,0.446,0.450,0.463,0.413,0.463,-1.000,0.400
0.450,0.462,0.461,0.430,0.457,0.456,0.443,0.531,0.463,0.431,0.432,0.407,0.458,0.485,0.491,0.494,0.462,0.439,0.471,0.493,0.418,0.481,0.516,0.415,0.494,0.464,0.490,0.429,0.503,-1.000
